year,month,region,cnt
2019,6,전남,2979
2019,6,전북,1586
2019,6,제주,17101
2019,6,충남,2308
2019,6,충북,1973
2019,7,강원,2114
2019,7,경기,9877
2019,7,경남,3258
2019,7,경북,3409
2019,7,광주,2140
2019,7,대구,8656
2019,7,대전,2117
2019,7,부산,2410
2019,7,서울,11764
2019,7,세종,811
2019,7,울산,1079
2019,7,인천,2132
2019,7,전남,3077
2019,7,전북,1641
2019,7,제주,17352
2019,7,충남,2421
2019,7,충북,2074
2019,8,강원,2236
2019,8,경기,10304
2019,8,경남,3392
2019,8,경북,3563
2019,8,광주,2213
2019,8,대구,9053
2019,8,대전,2224
2019,8,부산,2489
2019,8,서울,12050
2019,8,세종,826
2019,8,울산,1123
2019,8,인천,2210
2019,8,전남,3122
2019,8,전북,1700
2019,8,제주,17559
2019,8,충남,2490
2019,8,충북,2106
2019,9,강원,2339
2019,9,경기,10657
2019,9,경남,3458
2019,9,경북,3670
2019,9,광주,2283
2019,9,대구,9403
2019,9,대전,2303
2019,9,부산,2567
2019,9,서울,12389
2019,9,세종,857
2019,9,울산,1169
2019,9,인천,2322
2019,9,전남,3259
2019,9,전북,1752
2019,9,제주,17779
2019,9,충남,2551
2019,9,충북,2144
2019,10,강원,2385
2019,10,경기,11035
2019,10,경남,3592
2019,10,경북,3832
2019,10,광주,2341
2019,10,대구,9733
2019,10,대전,2361
2019,10,부산,2645
2019,10,서울,12711
2019,10,세종,867
2019,10,울산,1198
2019,10,인천,2412
2019,10,전남,3278
2019,10,전북,1804
2019,10,제주,17933
2019,10,충남,2649
2019,10,충북,2271
2019,12,강원,2445
2019,12,경기,11750
2019,12,경남,3626
2019,12,경북,4051
2019,12,광주,2464
2019,12,대구,11313
2019,12,대전,2555
2019,12,부산,3216
2019,12,서울,14952
2019,12,세종,903
2019,12,울산,1447
2019,12,인천,2598
2019,12,전남,3326
2019,12,전북,1841
2019,12,제주,18178
2019,12,충남,2841
2019,12,충북,2412
2019,12,강원,2445
2019,12,경기,11750
2019,12,경남,3626
2019,12,경북,4051
2019,12,광주,2464
2019,12,대구,11313
2019,12,대전,2555
2019,12,부산,3216
2019,12,서울,14952
2019,12,세종,903
2019,12,울산,1447
2019,12,인천,2598
2019,12,전남,3326
2019,12,전북,1841
2019,12,제주,18178
2019,12,충남,2841
2019,12,충북,2412
2020,1,강원,2448
2020,1,경기,11809
2020,1,경남,3634
2020,1,경북,4071
2020,1,광주,2479
2020,1,대구,11274
2020,1,대전,2618
2020,1,부산,3223
2020,1,서울,15353
2020,1,세종,911
2020,1,울산,1441
2020,1,인천,2660
2020,1,전남,3326
2020,1,전북,1872
2020,1,제주,18307
2020,1,충남,2848
2020,1,충북,2427
2020,2,강원,2459
2020,2,경기,12510
2020,2,경남,3822
2020,2,경북,4161
2020,2,광주,2489
2020,2,대구,11275
2020,2,대전,2625
2020,2,부산,3270
2020,2,서울,16438
2020,2,세종,933
2020,2,울산,1464
2020,2,인천,2791
2020,2,전남,3346
2020,2,전북,1920
2020,2,제주,18684
2020,2,충남,2928
2020,2,충북,2457
2020,3,강원,2640
2020,3,경기,14100
2020,3,경남,4295
2020,3,경북,4441
2020,3,광주,2660
2020,3,대구,11641
